id,name,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
196,wolf,🐺,0.299931647,0.738277512,0.172761449,0.330519481,0.643335612,0.251093643,0.343950786,0.705092276,0.594600137,1.147676008
197,cat face,🐱,0.20652921,0.572852234,0.142611684,0.208934708,0.682130584,0.194845361,0.238831615,0.635051546,0.427491409,1.085223368
198,cat,🐈,0.156130138,0.505211859,0.102116331,0.265691981,0.598889942,0.244438428,0.296015523,0.583908668,0.440232841,0.933306259
199,lion,🦁,0.291709571,0.558005837,0.152166162,0.381704061,0.546307067,0.204368982,0.238940076,0.593763631,0.468517797,1.124273409
200,tiger face,🐯,0.16551486,0.497247756,0.085302644,0.19670741,0.485505778,0.142582268,0.242195884,0.538050455,0.287816556,0.856372777
201,goat,🐐,0.182303929,0.410893039,0.117702895,0.16242466,0.416029978,0.161362219,0.161936092,0.464646324,0.315488986,0.805427598
202,rabbit face,🐰,0.27830535,0.661510598,0.172410136,0.252728964,0.73631439,0.268164537,0.342601204,0.714107396,0.513306248,1.157162204
203,bear,🐻,0.297782102,0.650421208,0.104973395,0.325485595,0.691452569,0.159137964,0.299659893,0.584902881,0.382659891,1.107491416
204,paw prints,🐾,0.144908441,0.66898233,0.10476849,0.166994321,0.829485739,0.209081036,0.358778167,0.716095929,0.353902643,1.235872508
205,dove,🕊,0.254503033,0.773431989,0.145868989,0.380201553,0.977597471,0.326393426,0.358075341,0.947307117,0.516362627,1.608712974
206,eagle,🦅,0.291288889,0.636128395,0.164009876,0.334350617,0.609274074,0.258004938,0.321283951,0.860997531,0.550528395,1.202804938
207,owl,🦉,0.241433947,0.679045356,0.165577342,0.292038027,0.626064567,0.240146564,0.298375916,0.666369578,0.459992078,1.153099624
208,frog,🐸,0.190178838,0.533980175,0.141983087,0.206536552,0.52108535,0.208674022,0.241902815,0.635869362,0.487049171,1.015027629
209,snake,🐍,0.317807431,0.589937206,0.317252747,0.447702773,0.5903663,0.298712716,0.250371533,0.753851387,0.645368917,1.084358974
210,butterfly,🦋,0.195517218,0.627909849,0.137975701,0.223341465,0.805727982,0.236744564,0.322644728,0.701870399,0.376217074,1.227890283
211,honeybee,🐝,0.363399102,0.662830149,0.147327487,0.402886523,0.667293037,0.240734941,0.261587848,0.710460382,0.484549535,1.192895918
212,bouquet,💐,0.132301555,1.113090686,0.088525967,0.207735337,1.375436781,0.174899897,0.528118954,1.122208725,0.273293742,1.932641982
213,cherry blossom,🌸,0.136704442,0.796151278,0.106946988,0.174560957,0.95113868,0.187385316,0.393816358,0.797748876,0.316555552,1.366710393
214,rose,🌹,0.170529968,0.794766516,0.105209545,0.210273172,1.08490243,0.213052919,0.452385206,0.898291639,0.346071827,1.562702737
215,wilted flower,🥀,0.253990171,0.533082191,0.159772631,0.307528853,0.700974917,0.349613231,0.23446992,0.63002233,0.554070361,1.05580051
216,hibiscus,🌺,0.155488085,0.75903221,0.09538631,0.187453335,1.03611745,0.194434859,0.381638608,0.827530981,0.42163737,1.477816633
217,sunflower,🌻,0.133505592,0.774409805,0.087374998,0.146460155,0.987679757,0.189638293,0.423744131,0.758193335,0.321714938,1.38470242
218,blossom,🌼,0.126481443,0.754683173,0.105585602,0.151870079,1.062502902,0.202277923,0.435354902,0.88521908,0.353625856,1.511242182
219,tulip,🌷,0.094847491,0.834406773,0.092680358,0.123688581,1.274537206,0.186717706,0.477700814,1.029590473,0.269311783,1.669704703
220,seedling,🌱,0.195377291,0.699839396,0.16920107,0.224578547,0.756817404,0.24685178,0.317382319,0.712055608,0.446235619,1.340555077
221,evergreen tree,🌲,0.279586131,0.778792234,0.236270567,0.186419461,0.921703268,0.26034946,0.452869004,0.802321646,0.373131251,1.415002153
222,deciduous tree,🌳,0.243118427,0.76336534,0.221877001,0.214083219,0.83251486,0.184460448,0.381245999,0.805340649,0.422798354,1.443381344
223,palm tree,🌴,0.151122425,0.642983877,0.13253105,0.166782381,0.726837924,0.189153745,0.241147883,0.594538301,0.326004783,1.088482604
224,herb,🌿,0.169565711,0.615868528,0.158730267,0.22642792,0.739819216,0.230435551,0.288571521,0.677117891,0.450688649,1.266554652
225,shamrock,☘,0.156981512,0.75382809,0.104991054,0.185489041,0.815427911,0.211704189,0.454167288,0.716411958,0.328876547,1.245832712
226,four leaf clover,🍀,0.12705769,1.15078772,0.088291193,0.146692972,1.246551102,0.125090456,0.864087787,0.925014842,0.27090023,1.653230222
227,leaf fluttering in wind,🍃,0.179001306,0.707974583,0.131605504,0.174157397,0.789870243,0.216174791,0.261092149,0.683491729,0.350042912,1.216028028
228,tangerine,🍊,0.219720137,0.588476508,0.183787416,0.183787415,0.564822537,0.197224539,0.226276527,0.620748772,0.445185803,1.029886016
229,red apple,🍎,0.12774026,0.599116883,0.095324675,0.119324675,0.643272727,0.127324675,0.267220779,0.587532467,0.297142857,1.217818182
230,peach,🍑,0.240664405,0.518688731,0.18350338,0.21853414,0.577944234,0.184618748,0.202378967,0.526512831,0.534629352,0.947803657
231,cherries,🍒,0.145151849,0.692346541,0.09307536,0.126424355,0.691716739,0.166435717,0.337315887,0.69168422,0.319204923,1.215760057
232,strawberry,🍓,0.151536396,0.589230353,0.123584118,0.154889809,0.727354636,0.181786228,0.246396914,0.464267162,0.275299495,1.01433075
233,eggplant,🍆,0.274088431,0.572872502,0.214815263,0.225844942,0.520805572,0.174648698,0.2162447,0.491910963,0.58979255,0.911976075
234,mushroom,🍄,0.212719298,0.634429824,0.154166667,0.197368421,0.723684211,0.240570175,0.277850877,0.692105263,0.389035088,1.194736842
235,pizza,🍕,0.114586345,0.429438631,0.052321212,0.08273111,0.651789328,0.098340753,0.207955137,0.468347112,0.231253975,0.898710759
236,cooking,🍳,0.131594547,0.771043272,0.106698281,0.14515412,0.766152934,0.16175163,0.294828097,0.682424422,0.361959099,1.394339063
237,popcorn,🍿,0.250085146,0.723195364,0.096361164,0.349159177,0.468179991,0.213165799,0.298176443,0.574153264,0.493939215,0.912663198
238,cookie,🍪,0.144565046,0.767815007,0.13575586,0.180431021,0.817681296,0.148025798,0.310838446,0.703004562,0.3599182,1.252005663
239,birthday cake,🎂,0.093662528,2.111878989,0.069107686,0.164241613,2.387914476,0.134983192,1.117054848,1.361228111,0.234481136,2.800489175
